Date,Name,Curve_Forward_Energy,Current,Status,Voltage
2023-02-16,HPA221000197,95.83,95.83,Running,95.83
2023-02-16,HPA221000144,95.83,95.83,Running,95.83
2023-02-16,HPA221000142,100,100,Running,100
2023-02-16,HPA221000141,100,100,Running,100
2023-02-16,HPA221000140,100,100,Running,100
2023-02-16,HPA221000139,95.83,95.83,Running,95.83
2023-02-16,HPA221000138,100,100,Running,100
2023-02-16,HPA221000137,100,100,Running,100
2023-02-16,HPA221000006,91.67,91.67,Running,91.67
2023-02-16,HPA221000004,100,100,Running,100
2023-02-16,HPA221000003,100,100,Running,100
2023-02-16,HPA221000002,95.83,95.83,Running,95.83
2023-02-16,HPA221000001,87.5,87.5,Running,87.5
2023-02-16,HAA221002221,33.33,33.33,Running,33.33
2023-02-16,HAA221002220,33.33,33.33,Running,33.33
2023-02-16,HAA221002219,33.33,33.33,Running,33.33
2023-02-16,HAA221002218,20.83,20.83,Running,20.83
2023-02-16,HAA221002217,20.83,20.83,Running,20.83
2023-02-16,HAA221002216,33.33,33.33,Running,33.33
2023-02-16,HAA221002215,33.33,33.33,Running,33.33
2023-02-16,HAA221002214,33.33,33.33,Running,33.33
2023-02-16,HAA221002213,33.33,33.33,Running,33.33
2023-02-16,HAA221002212,33.33,33.33,Running,33.33
2023-02-16,HAA221002211,33.33,33.33,Running,33.33
2023-02-16,HAA221002210,33.33,33.33,Running,33.33
2023-02-16,HAA221001808,95.83,95.83,Running,95.83
2023-02-16,HAA221001805,95.83,95.83,Running,95.83
2023-02-16,HAA221001799,95.83,95.83,Running,95.83
2023-02-16,HAA221001797,95.83,95.83,Running,95.83
2023-02-16,HAA221001484,100,100,Running,100
2023-02-16,HAA221001483,100,100,Running,100
2023-02-16,HAA221001482,100,100,Running,100
2023-02-16,HAA221001481,100,100,Running,100
2023-02-16,HAA221001480,100,100,Running,100
2023-02-16,HAA221001479,100,100,Running,100
2023-02-16,HAA221001478,100,100,Running,100
2023-02-16,HAA221001477,100,100,Running,100
2023-02-16,HAA221001476,100,100,Running,100
2023-02-16,HAA221001475,100,100,Running,100
2023-02-16,HAA221001474,100,100,Running,100
2023-02-16,HAA221001460,33.33,33.33,Running,33.33
2023-02-16,HAA221001457,95.83,95.83,Running,95.83
2023-02-16,HAA221001455,95.83,95.83,Running,95.83
2023-02-16,HAA221001454,95.83,95.83,Running,95.83
2023-02-16,HAA221001453,95.83,95.83,Running,95.83
2023-02-16,HAA221001452,95.83,95.83,Running,95.83
2023-02-16,HAA221001451,95.83,95.83,Running,95.83
2023-02-16,HAA221001450,95.83,95.83,Running,95.83
2023-02-16,HAA221001449,95.83,95.83,Running,95.83
2023-02-16,HAA221001326,37.5,37.5,Running,37.5
2023-02-16,HAA221001325,37.5,37.5,Running,37.5
2023-02-16,HAA221001322,37.5,37.5,Running,37.5
2023-02-16,HAA221001320,37.5,37.5,Running,37.5
2023-02-16,HAA221001319,37.5,37.5,Running,37.5
2023-02-16,HAA221001318,37.5,37.5,Running,37.5
2023-02-16,HAA221001268,29.17,29.17,Running,29.17
2023-02-16,HAA221001266,29.17,29.17,Running,29.17
2023-02-16,HAA221001263,29.17,29.17,Running,29.17
2023-02-16,HAA221001257,29.17,29.17,Running,29.17
2023-02-16,HAA221001182,33.33,33.33,Running,33.33
2023-02-16,HAA221001181,33.33,33.33,Running,33.33
2023-02-16,HAA221001176,33.33,33.33,Running,33.33
2023-02-16,HAA221001076,91.67,91.67,Running,91.67
2023-02-16,HAA221001075,91.67,91.67,Running,91.67
2023-02-16,HAA221001074,91.67,91.67,Running,91.67
2023-02-16,HAA221001073,91.67,91.67,Running,91.67
2023-02-16,HAA221001072,91.67,91.67,Running,91.67
2023-02-16,HAA221001071,91.67,91.67,Running,91.67
2023-02-16,HAA221001070,91.67,91.67,Running,91.67
2023-02-16,HAA221001069,95.83,95.83,Running,95.83
2023-02-16,HAA221001068,95.83,95.83,Running,95.83
2023-02-16,HAA221001067,95.83,95.83,Running,95.83
2023-02-16,HAA221001066,33.33,33.33,Running,33.33
2023-02-16,HAA221001065,33.33,33.33,Running,33.33
2023-02-16,HAA221000928,95.83,95.83,Running,95.83
2023-02-16,HAA221000927,95.83,95.83,Running,95.83
2023-02-16,HAA221000926,95.83,95.83,Running,95.83
2023-02-16,HAA221000925,95.83,95.83,Running,95.83
2023-02-16,HAA221000924,95.83,95.83,Running,95.83
2023-02-16,HAA221000923,95.83,95.83,Running,95.83
2023-02-16,HAA221000922,95.83,95.83,Running,95.83
2023-02-16,HAA221000921,95.83,95.83,Running,95.83
2023-02-16,HAA221000920,95.83,95.83,Running,95.83
2023-02-16,HAA221000918,95.83,95.83,Running,95.83
2023-02-16,HAA221000917,95.83,95.83,Running,95.83
2023-02-16,HAA221000879,95.83,95.83,Running,95.83
2023-02-16,HAA221000878,95.83,95.83,Running,95.83
2023-02-16,HAA221000875,95.83,95.83,Running,95.83
2023-02-16,HAA221000640,100,100,Running,100
2023-02-16,HAA221000639,100,100,Running,100
2023-02-16,HAA221000638,100,100,Running,100
2023-02-16,HAA221000637,100,100,Running,100
2023-02-16,HAA221000636,100,100,Running,100
2023-02-16,HAA221000635,100,100,Running,100
2023-02-16,HAA221000634,100,100,Running,100
2023-02-16,HAA221000633,100,100,Running,100
2023-02-16,HAA221000632,100,100,Running,100
2023-02-16,HAA221000631,100,100,Running,100
2023-02-16,HAA221000630,100,100,Running,100
2023-02-16,HAA221000629,100,100,Running,100
2023-02-16,HAA221000592,95.83,95.83,Running,95.83
2023-02-16,HAA221000590,95.83,95.83,Running,95.83
2023-02-16,HAA221000589,95.83,95.83,Running,95.83
2023-02-16,HAA221000587,95.83,95.83,Running,95.83
2023-02-16,HAA221000586,100,100,Running,100
2023-02-16,HAA221000583,95.83,95.83,Running,95.83
2023-02-16,HAA221000581,95.83,95.83,Running,95.83
2023-02-16,HAA221000556,95.83,95.83,Running,95.83
2023-02-16,HAA221000554,95.83,95.83,Running,95.83
2023-02-16,HAA221000553,95.83,95.83,Running,95.83
2023-02-16,HAA221000552,95.83,95.83,Running,95.83
2023-02-16,HAA221000551,95.83,95.83,Running,95.83
2023-02-16,HAA221000549,95.83,95.83,Running,95.83
2023-02-16,HAA221000548,95.83,95.83,Running,95.83
2023-02-16,HAA221000547,95.83,95.83,Running,95.83
2023-02-16,HAA221000546,95.83,95.83,Running,95.83
2023-02-16,HAA221000545,95.83,95.83,Running,95.83
2023-02-16,HAA221000544,95.83,95.83,Running,95.83
2023-02-16,HAA221000543,95.83,95.83,Running,95.83
2023-02-16,HAA221000542,95.83,95.83,Running,95.83
2023-02-16,HAA221000541,95.83,95.83,Running,95.83
2023-02-16,HAA221000540,100,100,Running,100
2023-02-16,HAA221000539,95.83,95.83,Running,95.83
2023-02-16,HAA221000538,95.83,95.83,Running,95.83
2023-02-16,HAA221000537,95.83,95.83,Running,95.83
2023-02-16,HAA221000536,95.83,95.83,Running,95.83
2023-02-16,HAA221000535,95.83,95.83,Running,95.83
2023-02-16,HAA221000534,95.83,95.83,Running,95.83
2023-02-16,HAA221000533,95.83,95.83,Running,95.83
2023-02-16,HAA221000484,95.83,95.83,Running,95.83
2023-02-16,HAA221000481,95.83,95.83,Running,95.83
2023-02-16,HAA221000475,95.83,95.83,Running,95.83
2023-02-16,HAA221000474,95.83,95.83,Running,95.83
2023-02-16,HAA221000435,95.83,95.83,Running,95.83
2023-02-16,HAA221000400,95.83,95.83,Running,95.83
2023-02-16,HAA221000399,95.83,95.83,Running,95.83
2023-02-16,HAA221000398,95.83,95.83,Running,95.83
2023-02-16,HAA221000397,95.83,95.83,Running,95.83
2023-02-16,HAA221000396,95.83,95.83,Running,95.83
2023-02-16,HAA221000393,95.83,95.83,Running,95.83
2023-02-16,HAA221000392,95.83,95.83,Running,95.83
2023-02-16,HAA221000391,95.83,95.83,Running,95.83
2023-02-16,HAA221000388,100,100,Running,100
2023-02-16,HAA221000387,100,100,Running,100
2023-02-16,HAA221000386,100,100,Running,100
2023-02-16,HAA221000385,95.83,95.83,Running,95.83
2023-02-16,HAA221000384,100,100,Running,100
2023-02-16,HAA221000383,100,100,Running,100
2023-02-16,HAA221000382,100,100,Running,100
2023-02-16,HAA221000381,100,100,Running,100
2023-02-16,HAA221000380,100,100,Running,100
2023-02-16,HAA221000379,100,100,Running,100
2023-02-16,HAA221000378,100,100,Running,100
2023-02-16,HAA221000377,100,100,Running,100
2023-02-16,HAA221000376,95.83,95.83,Running,95.83
2023-02-16,HAA221000375,95.83,95.83,Running,95.83
2023-02-16,HAA221000374,95.83,95.83,Running,95.83
2023-02-16,HAA221000373,95.83,95.83,Running,95.83
2023-02-16,HAA221000372,95.83,95.83,Running,95.83
2023-02-16,HAA221000371,95.83,95.83,Running,95.83
2023-02-16,HAA221000370,95.83,95.83,Running,95.83
2023-02-16,HAA221000369,95.83,95.83,Running,95.83
2023-02-16,HAA221000368,95.83,95.83,Running,95.83
2023-02-16,HAA221000367,95.83,95.83,Running,95.83
2023-02-16,HAA221000366,95.83,95.83,Running,95.83
2023-02-16,HAA221000365,95.83,95.83,Running,95.83
2023-02-16,HAA221000364,83.33,83.33,Running,83.33
2023-02-16,HAA221000363,79.17,79.17,Running,79.17
2023-02-16,HAA221000362,95.83,95.83,Running,95.83
2023-02-16,HAA221000361,83.33,83.33,Running,83.33
2023-02-16,HAA221000360,83.33,83.33,Running,83.33
2023-02-16,HAA221000359,95.83,95.83,Running,95.83
2023-02-16,HAA221000358,100,100,Running,100
2023-02-16,HAA221000357,83.33,83.33,Running,83.33
2023-02-16,HAA221000356,95.83,95.83,Running,95.83
2023-02-16,HAA221000355,79.17,79.17,Running,79.17
2023-02-16,HAA221000354,95.83,95.83,Running,95.83
2023-02-16,HAA221000353,100,100,Running,100
2023-02-16,HAA221000316,20.83,20.83,Running,20.83
2023-02-16,HAA221000315,20.83,20.83,Running,20.83
2023-02-16,HAA221000314,16.67,16.67,Running,16.67
2023-02-16,HAA221000313,100,100,Running,100
2023-02-16,HAA221000312,20.83,20.83,Running,20.83
2023-02-16,HAA221000311,20.83,20.83,Running,20.83
2023-02-16,HAA221000310,20.83,20.83,Running,20.83
2023-02-16,HAA221000309,20.83,20.83,Running,20.83
2023-02-16,HAA221000308,16.67,16.67,Running,16.67
2023-02-16,HAA221000306,16.67,16.67,Running,16.67
2023-02-16,HAA221000305,16.67,16.67,Running,16.67
2023-02-16,HAA221000304,100,100,Running,100
2023-02-16,HAA221000303,95.83,95.83,Running,95.83
2023-02-16,HAA221000301,100,100,Running,100
2023-02-16,HAA221000300,95.83,95.83,Running,95.83
2023-02-16,HAA221000299,100,100,Running,100
2023-02-16,HAA221000298,100,100,Running,100
2023-02-16,HAA221000297,95.83,95.83,Running,95.83
2023-02-16,HAA221000296,100,100,Running,100
2023-02-16,HAA221000295,100,100,Running,100
2023-02-16,HAA221000294,95.83,95.83,Running,95.83
2023-02-16,HAA221000293,100,100,Running,100
2023-02-16,HAA221000292,75,75,Running,75
2023-02-16,HAA221000291,95.83,95.83,Running,95.83
2023-02-16,HAA221000290,75,75,Running,75
2023-02-16,HAA221000289,95.83,95.83,Running,95.83
2023-02-16,HAA221000288,95.83,95.83,Running,95.83
2023-02-16,HAA221000287,95.83,95.83,Running,95.83
2023-02-16,HAA221000286,95.83,95.83,Running,95.83
2023-02-16,HAA221000285,95.83,95.83,Running,95.83
2023-02-16,HAA221000284,75,75,Running,75
2023-02-16,HAA221000283,95.83,95.83,Running,95.83
2023-02-16,HAA221000282,95.83,95.83,Running,95.83
2023-02-16,HAA221000281,100,100,Running,100
2023-02-16,HAA221000268,95.83,95.83,Running,95.83
2023-02-16,HAA221000267,100,100,Running,100
2023-02-16,HAA221000266,95.83,95.83,Running,95.83
2023-02-16,HAA221000265,95.83,95.83,Running,95.83
2023-02-16,HAA221000264,100,100,Running,100
2023-02-16,HAA221000263,100,100,Running,100
2023-02-16,HAA221000262,95.83,95.83,Running,95.83
2023-02-16,HAA221000261,95.83,95.83,Running,95.83
2023-02-16,HAA221000260,95.83,95.83,Running,95.83
2023-02-16,HAA221000258,95.83,95.83,Running,95.83
2023-02-16,HAA221000257,100,100,Running,100
2023-02-16,HAA221000256,95.83,95.83,Running,95.83
2023-02-16,HAA221000255,95.83,95.83,Running,95.83
2023-02-16,HAA221000254,100,100,Running,100
2023-02-16,HAA221000253,95.83,95.83,Running,95.83
2023-02-16,HAA221000252,95.83,95.83,Running,95.83
2023-02-16,HAA221000251,100,100,Running,100
2023-02-16,HAA221000250,100,100,Running,100
2023-02-16,HAA221000249,100,100,Running,100
2023-02-16,HAA221000248,100,100,Running,100
2023-02-16,HAA221000247,100,100,Running,100
2023-02-16,HAA221000246,100,100,Running,100
2023-02-16,HAA221000245,95.83,95.83,Running,95.83
2023-02-16,HAA221000160,100,100,Running,100
2023-02-16,HAA221000159,100,100,Running,100
2023-02-16,HAA221000158,95.83,95.83,Running,95.83
2023-02-16,HAA221000157,100,100,Running,100
2023-02-16,HAA221000156,95.83,95.83,Running,95.83
2023-02-16,HAA221000155,100,100,Running,100
2023-02-16,HAA221000154,100,100,Running,100
2023-02-16,HAA221000153,100,100,Running,100
2023-02-16,HAA221000152,100,100,Running,100
2023-02-16,HAA221000151,75,75,Running,75
2023-02-16,HAA221000150,75,75,Running,75
2023-02-16,HAA221000149,75,75,Running,75
2023-02-16,HAA221000112,95.83,95.83,Running,95.83
2023-02-16,HAA221000111,95.83,95.83,Running,95.83
2023-02-16,HAA221000110,100,100,Running,100
2023-02-16,HAA221000109,95.83,95.83,Running,95.83
2023-02-16,HAA221000108,100,100,Running,100
2023-02-16,HAA221000107,95.83,95.83,Running,95.83
2023-02-16,HAA221000105,100,100,Running,100
2023-02-16,HAA221000104,100,100,Running,100
2023-02-16,HAA221000103,100,100,Running,100
2023-02-16,HAA221000102,100,100,Running,100
2023-02-16,HAA221000101,100,100,Running,100
2023-02-16,HAA221000088,95.83,95.83,Running,95.83
2023-02-16,HAA221000087,95.83,95.83,Running,95.83
2023-02-16,HAA221000086,95.83,95.83,Running,95.83
2023-02-16,HAA221000085,95.83,95.83,Running,95.83
2023-02-16,HAA221000084,95.83,95.83,Running,95.83
2023-02-16,HAA221000083,95.83,95.83,Running,95.83
2023-02-16,HAA221000082,95.83,95.83,Running,95.83
